"home_season","week","rank_away","rank_home","game_type","neutral","q1_home","q2_home","q3_home","q4_home","first_downs_home","fum_home","int_home","pen_num_home","pen_yards_home","posession_home","third_down_att_home","third_down_comp_home","fourth_down_att_home","fourth_down_comp_home","pass_att_home","pass_comp_home","rush_att_home","rush_yards_home","total_yards_home","score_home","score_away"
"Michigan_2025",1,26,14,"regular","FALSE",14,10,3,7,20,1,0,8,65,26.997,13,6,1,0,31,21,32,201,452,34,17
"Michigan_2025",3,26,23,"regular","FALSE",14,21,14,14,35,0,1,4,45,33.116,11,8,2,1,25,16,55,381,616,63,3
"Michigan_2025",5,26,20,"regular","FALSE",7,3,7,7,19,0,0,1,10,29.05,12,5,1,0,28,19,34,175,445,24,10
"Michigan_2025",7,26,26,"regular","FALSE",7,0,7,10,23,0,0,5,35,37.483,13,6,2,0,28,21,40,187,417,24,7
"Michigan_2025",9,26,21,"regular","FALSE",7,7,0,7,20,1,1,4,32,27.083,11,6,0,0,22,13,39,253,398,21,16
"Michigan_2025",12,1,15,"regular","FALSE",6,3,0,0,9,0,1,1,3,19.983,9,1,1,0,18,8,24,100,163,9,27
