"week","rank_away","rank_home","game_type","neutral","q1_home","q2_home","q3_home","q4_home","first_downs_home","fum_home","int_home","pen_num_home","pen_yards_home","possession_home","spread","home_win","Home Third Down Completion Rate ","Home Pass Completion Rate","home_season","Run-Pass Ratio","Rush Yards - Total Yards"
2,26,1,"regular","False",19,21,10,7,26,1,0,4,35,31.73,50,"Win",0.6666666666666666,0.6896551724137931,"Alabama_2018",1.5172413793103448,0.46410684474123537
4,22,1,"regular","False",14,17,14,0,24,0,0,9,82,27.4,22,"Win",0.4,0.7575757575757576,"Alabama_2018",0.8484848484848485,0.20801526717557253
5,26,1,"regular","False",28,21,7,0,26,0,0,3,15,30.07,42,"Win",0.7777777777777778,0.8125,"Alabama_2018",2.875,0.4407894736842105
7,26,1,"regular","False",13,17,2,7,25,1,0,5,60,32.28,29,"Win",0.46153846153846156,0.6333333333333333,"Alabama_2018",1.5,0.3262411347517731
11,16,1,"regular","False",14,7,0,3,23,1,1,0,0,33.92,24,"Win",0.3333333333333333,0.6296296296296297,"Alabama_2018",1.6666666666666667,0.46557377049180326
12,26,1,"regular","False",7,3,27,13,21,2,0,6,68,23.62,33,"Win",0.6,0.8076923076923077,"Alabama_2018",0.8846153846153846,0.33868092691622104
13,26,1,"regular","False",7,10,21,14,23,0,0,8,82,25.38,31,"Win",0.45454545454545453,0.7878787878787878,"Alabama_2018",0.7878787878787878,0.246
17,4,1,"post","True",21,10,0,14,28,0,0,9,86,36.13,11,"Win",0.7,0.8928571428571429,"Alabama_2018",1.5,0.3787878787878788
17,2,1,"post","True",13,3,0,0,23,0,2,6,60,31.62,-28,"Loss",0.3076923076923077,0.6111111111111112,"Alabama_2018",1.0277777777777777,0.3340857787810384
1,26,2,"regular","True",0,14,21,7,30,1,0,8,88,36.62,39,"Win",0.5,0.8333333333333334,"Alabama_2019",1.1666666666666667,0.283203125
2,26,2,"regular","False",21,17,24,0,23,0,0,4,35,27.95,52,"Win",0.5,0.6363636363636364,"Alabama_2019",0.9696969696969697,0.527363184079602
4,26,2,"regular","False",14,14,14,7,24,0,1,1,15,27.08,42,"Win",0.6,0.8,"Alabama_2019",1.4,0.3424124513618677
5,26,2,"regular","False",7,31,14,7,28,1,0,10,76,29.62,28,"Win",0.5,0.7027027027027027,"Alabama_2019",0.8108108108108109,0.2705061082024433
8,26,1,"regular","False",14,7,7,7,23,0,1,8,93,28.27,22,"Win",0.6,0.75,"Alabama_2019",1.4166666666666667,0.3753351206434316
9,26,1,"regular","False",17,24,7,0,23,0,0,6,60,34.57,41,"Win",0.6153846153846154,0.8,"Alabama_2019",1.2666666666666666,0.3899782135076253
11,2,3,"regular","False",7,6,7,21,22,1,1,7,53,25.43,-5,"Loss",0.4,0.525,"Alabama_2019",0.7,0.22735674676524953
13,26,5,"regular","False",17,21,21,7,23,1,0,4,45,27.85,63,"Win",0.625,0.8,"Alabama_2019",2.8,0.4269870609981516
17,14,13,"post","True",7,7,7,14,20,0,0,5,25,25.22,19,"Win",0.4,0.64,"Alabama_2019",1.2,0.31875
5,13,2,"regular","False",14,21,7,10,22,0,1,6,40,22.3,28,"Win",0.5,0.7407407407407407,"Alabama_2020",1.037037037037037,0.20036764705882354
7,3,2,"regular","False",7,13,14,7,33,0,1,6,43,33.98,17,"Win",0.5454545454545454,0.7272727272727273,"Alabama_2020",1.303030303030303,0.26063829787234044
9,26,2,"regular","False",17,10,0,14,26,1,0,10,71,31.7,41,"Win",0.42857142857142855,0.7272727272727273,"Alabama_2020",1.2121212121212122,0.4168336673346693
12,26,1,"regular","False",7,21,21,14,29,0,1,4,30,31.08,60,"Win",0.6666666666666666,0.6923076923076923,"Alabama_2020",1.5384615384615385,0.444007858546169
13,22,1,"regular","False",7,14,14,7,20,1,0,4,30,23.5,29,"Win",0.6,0.6923076923076923,"Alabama_2020",1.0384615384615385,0.32134831460674157
17,4,1,"post","True",14,7,7,3,24,0,0,6,59,26.28,17,"Win",0.6,0.8333333333333334,"Alabama_2020",0.8333333333333334,0.32036613272311215
17,3,1,"post","True",7,28,10,7,33,1,0,6,44,37.43,28,"Win",0.5454545454545454,0.8,"Alabama_2020",0.8444444444444444,0.2528180354267311
2,26,1,"regular","False",14,17,14,3,24,0,0,9,95,29.85,34,"Win",0.38461538461538464,0.6451612903225806,"Alabama_2021",1.096774193548387,0.37264150943396224
4,26,1,"regular","False",21,21,7,14,22,0,1,7,62,28.7,49,"Win",0.6,0.8846153846153846,"Alabama_2021",1.2692307692307692,0.3481848184818482
5,12,1,"regular","False",7,21,7,7,27,0,1,5,52,37.98,21,"Win",0.46153846153846156,0.7692307692307693,"Alabama_2021",1.9230769230769231,0.4656319290465632
8,26,4,"regular","False",7,14,3,28,33,1,0,4,30,40.43,28,"Win",0.75,0.7209302325581395,"Alabama_2021",1.1395348837209303,0.35365853658536583
10,26,2,"regular","False",0,14,6,0,16,1,0,9,64,28.73,6,"Win",0.3076923076923077,0.6486486486486487,"Alabama_2021",0.7027027027027027,0.01948051948051948
11,26,2,"regular","False",14,35,0,10,30,1,0,4,37,30.55,56,"Win",0.6666666666666666,0.8108108108108109,"Alabama_2021",1.1081081081081081,0.42078364565587734
12,21,2,"regular","False",3,21,10,8,29,1,0,5,45,30.5,7,"Win",0.5454545454545454,0.775,"Alabama_2021",0.9,0.16691505216095381
